DISTRITO;TIPO_DE_DENUNCIA;SITUACION_DENUNCIA;TIPO;SUBTIPO;MODALIDAD;FECHA_HECHO;DIASEM_HECHO;MES_HECHO;PERIODO_HECHO;HORA_HECHO;DESCRIPCION;EDAD_PERSONA;SEXO;ESTADO_CIVIL;GRADO_INSTRUCCION;OCUPACION;PAIS_NATAL;LONGITUD;LATITUD
CALLAO;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA FISICA;20/02/2024;3;2;2024;1;CALLAO;31;MASCULINO;SOLTERO(A);NO INDICA;MOTOTAXISTA;PERU;-77.12598430;-12.05084910
BELLAVISTA;ACTA DE DENUNCIA VERBAL;PENDIENTE;PATRIMONIO (DELITO);ESTAFA Y OTRAS DEFRAUDACIONES;ESTAFA;30/01/2024;3;1;2024;16;DEPINCRI BELLAVISTA/LA PERLA/C.DE LA LEGUA;32;FEMENINO;SOLTERO(A);SECUNDARIA;NO INDICA;PERU;-77.12791120;-12.06462730
CALLAO;DENUNCIA;RESUELTA;LIBERTAD (DELITO);VIOLACION DE LA LIBERTAD SEXUAL;ACTOS CONTRA EL PUDOR DE MENORES;04/02/2024;1;2;2024;1;OQUENDO;39;MASCULINO;SOLTERO(A);NO INDICA;ELECTRICISTA;PERU;-77.11852781;-12.01111689
BELLAVISTA;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;08/02/2024;5;2;2024;16;BELLAVISTA;60;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.10245821;-12.05913471
CALLAO;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;18/02/2024;1;2;2024;10;LA LEGUA;32;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.10284980;-12.04936920
BELLAVISTA;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;23/02/2024;6;2;2024;20;BELLAVISTA;29;FEMENINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.11663210;-12.05984930
CALLAO;ACTA DE INTERVENCION;RESUELTA;PATRIMONIO (DELITO);ROBO;ROBO;09/02/2024;6;2;2024;20;DEPINCRI BELLAVISTA/LA PERLA/C.DE LA LEGUA;26;MASCULINO;SOLTERO(A);NO INDICA;EMPLEADO;PERU;-77.10033230;-12.05169960
BELLAVISTA;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;28/01/2024;1;1;2024;20;CIUDAD DEL PESCADOR;36;FEMENINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.09616220;-12.05926260
CARMEN DE LA LEGUA REYNOSO;ACTA DE INTERVENCION;RESUELTA;PATRIMONIO (DELITO);RECEPTACION;RECEPTACION;23/02/2024;6;2;2024;4;CARMEN DE LA LEGUA;32;MASCULINO;SOLTERO(A);NO INDICA;INDEPENDIENTE;PERU;-77.08810340;-12.04118213
BELLAVISTA;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA FISICA;01/02/2024;5;2;2024;13;CIUDAD DEL PESCADOR;30;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.10916755;-12.05876245
CARMEN DE LA LEGUA REYNOSO;ACTA DE DENUNCIA VERBAL;RESUELTA;LIBERTAD (DELITO);VIOLACION DE LA LIBERTAD PERSONAL;COACCION;04/02/2024;1;2;2024;11;CARMEN DE LA LEGUA;50;FEMENINO;SOLTERO(A);NO INDICA;PORTERA;PERU;-77.09659269;-12.04228736
BELLAVISTA;DENUNCIA;PENDIENTE;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;27/02/2024;3;2;2024;13;BELLAVISTA;35;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.10977909;-12.05994806
BELLAVISTA;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;09/02/2024;6;2;2024;16;BELLAVISTA;69;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.11615610;-12.05523720
LA PUNTA;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;03/02/2024;7;2;2024;9;LA PUNTA;64;FEMENINO;DIVORCIADO(A);SUPERIOR;NO INDICA;PERU;-77.16155010;-12.07126700
BELLAVISTA;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA ECONOMICA O PATRIMONIAL;15/02/2024;5;2;2024;10;BELLAVISTA;34;FEMENINO;SOLTERO(A);NO INDICA;ESTUDIANTE;PERU;-77.10834143;-12.05887787
LA PUNTA;DENUNCIA;RESUELTA;LIBERTAD (DELITO);VIOLACION DE DOMICILIO;VIOLACION DE DOMICILIO;07/02/2024;4;2;2024;16;LA PUNTA;60;FEMENINO;DIVORCIADO(A);NO INDICA;NO INDICA;PERU;-77.12598430;-12.05084910
CARMEN DE LA LEGUA REYNOSO;DENUNCIA;PENDIENTE;PATRIMONIO (DELITO);ROBO;ROBO AGRAVADO A MANO ARMADA;27/02/2024;3;2;2024;21;CARMEN DE LA LEGUA;44;FEMENINO;SOLTERO(A);NO INDICA;PROFESORA;PERU;-77.08771716;-12.04072044
LA PUNTA;DENUNCIA;RESUELTA;LEY 30096 DELITOS INFORMATICOS  MODIFICADA POR LA LEY 30171;DELITOS INFORMATICOS CONTRA EL PATRIMONIO;FRAUDE INFORMATICO;14/02/2024;4;2;2024;8;LA PUNTA;57;FEMENINO;CASADO(A);SUPERIOR;ABOGADO;PERU;-77.16128950;-12.07027520
BELLAVISTA;ACTA DE DENUNCIA VERBAL;RESUELTA;VIDA  EL CUERPO Y LA SALUD (DELITO);LESIONES;LESIONES;05/02/2024;2;2;2024;18;BELLAVISTA;52;FEMENINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.11724261;-12.06198366
LA PUNTA;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA ECONOMICA O PATRIMONIAL;08/02/2024;5;2;2024;11;LA PUNTA;84;FEMENINO;CASADO(A);SECUNDARIA;NO INDICA;PERU;-77.16095840;-12.07077570
BELLAVISTA;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;02/02/2024;6;2;2024;19;CIUDAD DEL PESCADOR;26;FEMENINO;SOLTERO(A);NO INDICA;EMPLEADA;PERU;-77.10478370;-12.05894510
CARMEN DE LA LEGUA REYNOSO;ACTA DE INTERVENCION;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA FISICA;13/02/2024;3;2;2024;4;CARMEN DE LA LEGUA;36;FEMENINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.09522720;-12.04217330
BELLAVISTA;DENUNCIA;RESUELTA;PATRIMONIO (DELITO);HURTO;HURTO;24/02/2024;7;2;2024;18;BELLAVISTA;27;FEMENINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.12274205;-12.06542875
CARMEN DE LA LEGUA REYNOSO;DENUNCIA;RESUELTA;PATRIMONIO (DELITO);HURTO;HURTO AGRAVADO DURANTE LA NOCHE;18/02/2024;1;2;2024;5;CARMEN DE LA LEGUA;54;MASCULINO;SOLTERO(A);NO INDICA;INDEPENDIENTE;PERU;-77.09517648;-12.04274904
